,num_confessed_assignments,predict_confess
jennifer_singh,0,0
michael_price,0,0
brandy_garner,0,0
susan_barrett,0,0
james_carter,0,0
megan_coleman,0,0
carlos_terry,0,0
michael_fitzgerald,0,0
amanda_spears,0,0
cassandra_hernandez,0,0
destiny_martinez,0,0
kristi_stevens,0,0
jeffrey_ruiz,0,0
jay_walsh,0,0
michael_rogers,0,0
david_gomez,0,0
breanna_diaz,0,0
ebony_sanchez,0,0
derek_moore,0,0
chad_choi,0,0
billy_banks,0,0
zachary_carter,0,0
caroline_branch,0,0
stephanie_martin,0,0
maureen_morrison,0,0
lauren_rivera,0,0
patricia_baker,0,0
jose_kennedy,0,0
rachel_davis_dvm,0,0
david_washington,0,0
lisa_russell,0,0
katherine_shaw,0,0
caitlin_reeves,0,0
shari_butler,0,0
gloria_murray_dvm,0,0
sierra_lee,0,0
edward_walker,0,0
mark_smith,0,0
douglas_luna,0,0
rodney_walker,0,0
debra_mendoza,0,0
john_larson,0,0
randy_rodriguez,0,0
mary_cooper,0,0
regina_gray,0,0
denise_brooks,0,0
michael_solomon,0,0
julie_simon,0,0
raymond_stevenson,0,0
john_gordon,0,0
joseph_krause,0,0
jennifer_osborne,0,0
trevor_ford,0,0
christopher_anderson,0,0
janet_young,0,0
ronald_stewart,0,0
alison_moore,0,0
jason_simmons,0,0
rachel_branch,0,0
angela_vargas,0,0
frank_williams,0,0
julie_mendoza,0,0
april_soto,0,0
anthony_everett,0,0
amanda_smith,0,0
joseph_martin_dvm,0,0
david_reeves,0,0
kurt_lopez,0,0
amanda_cohen,0,0
katherine_moore,0,0
johnathan_velazquez,0,0
anthony_parker,0,0
randy_wheeler,0,0
jasmin_castro,0,0
grace_davis,0,0
wendy_lynch,0,0
ronald_lopez,0,0
rebecca_neal,0,0
heather_strong,0,0
lauren_thomas_phd,0,0
sarah_kennedy,0,0
carl_rollins,0,0
hannah_cooke,0,0
james_cruz,0,0
frank_burns,0,0
tyler_hart,0,0
brenda_harper,0,0
sandra_rivas,0,0
