name,year_of_study,participation,pe_percent,finals_percent,midterms_percent,afast,level_min_max,exp_min_max,t01_exp,t02_exp,t03_exp,t04_exp,t05_exp,t06_exp,t07_exp,t08_exp,t09_exp,t10_exp,num_videos,avg_videos_completion,confessed_assignments,num_confessed_assignments,batch_1821,batch_1935,batch_2023,major_-,major_Business Analytics,major_Chemistry,major_Computational Biology,major_Data Science and Analytics,major_Faculty of Arts & Social Sci,major_Faculty of Engineering,major_Faculty of Law,major_Faculty of Science,major_Life Sciences,major_Math/Applied Math,major_NUS Business School,major_Pharmacy,major_Physics,major_Quantitative Finance,major_School of Computing,major_School of Design & Environment,major_Statistics,major_Yong Loo Lin School (Medicine),node_name
jessica_mack,1,3.5,0.425,0.6133333333333334,0.55,1,0.8000000000000002,0.630731995713705,225,275,275,275,275,275,275,275,275,178,24,0.212,[''],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,jessica_mack
sharon_maddox,1,3.5,0.775,0.8133333333333332,0.6,0,0.8500000000000002,0.8448619886930495,250,275,250,250,200,275,275,275,250,247,12,0.6779999999999999,[''],0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,sharon_maddox
joshua_hernandez,1,3.5,0.525,0.48000000000000004,0.26,1,0.8500000000000002,0.8173336289398808,225,225,250,225,250,225,225,250,275,184,28,0.045,[''],0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joshua_hernandez
willie_marshall,1,3.0000000000000004,0.8,0.5866666666666667,0.48,0,0.5499999999999999,0.46100456958454955,250,225,225,275,225,225,200,225,225,161,7,0.32,[''],0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,willie_marshall
deborah_baker,1,2.5,0.4,0.68,0.2,0,0.8000000000000002,0.6497616672209288,225,200,200,275,225,225,0,275,225,117,56,0.1,['rogue_train'],1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deborah_baker
jose_gray,1,3.999423705309556,0.8945781190892291,0.7748224548032147,0.9,0,0.9166666666666667,0.8523663493225926,275,275,275,275,275,275,275,275,275,275,9,0.182,[''],0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,jose_gray
pamela_gibbs,1,3.5,0.95,0.4,0.5,0,0.9000000000000002,0.8755311680153715,275,250,250,225,275,250,250,275,275,210,23,0.462,[''],0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pamela_gibbs
karen_harris,1,3.9855321569114666,0.8535412199687008,0.707838396144975,0.7666666666666667,0,1.0277777777777777,1.02400677407543,250,250,275,275,275,275,275,275,275,270,0,0.0,['funky_merge_spell'],1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,karen_harris
amanda_white,1,3.0000000000000004,0.6,0.5666666666666667,0.44,0,0.8000000000000002,0.7829077830740616,250,225,275,225,250,225,225,200,200,171,20,0.517,[''],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amanda_white
harry_mcguire,1,3.0000000000000004,0.7,0.6133333333333334,0.47,0,0.9000000000000002,0.860935594723423,250,225,200,200,225,200,200,225,225,171,11,0.11900000000000001,[''],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,harry_mcguire
