mission,cohort1,assessment1,submission1,name1,cohort2,assessment2,submission2,name2,percent1,percent2,lines,url
beautiful_runes,1821,33159,874054,edward_walker,1935,38713,1025319,andrea_davis,1,32,19,http://moss.stanford.edu/results/1/8855705839555/match0.html
beautiful_runes,1935,38713,1035686,lisa_reese,1935,38713,1027426,joshua_hernandez,84,66,16,http://moss.stanford.edu/results/1/8855705839555/match1.html
beautiful_runes,1935,38713,1027335,tara_bonilla,2023,42731,1141632,tara_bonilla,84,77,11,http://moss.stanford.edu/results/1/8855705839555/match2.html
beautiful_runes,1935,38713,1035686,lisa_reese,1935,38713,1026134,carol_harris,66,47,12,http://moss.stanford.edu/results/1/8855705839555/match3.html
beautiful_runes,1935,38713,1027426,joshua_hernandez,1935,38713,1026134,carol_harris,51,47,12,http://moss.stanford.edu/results/1/8855705839555/match4.html
beautiful_runes,1935,38713,1024437,jeffrey_king,1935,38713,1023433,james_long,10,10,3,http://moss.stanford.edu/results/1/8855705839555/match5.html
beautiful_runes,1821,33159,879471,luis_hansen,1935,38713,1027909,lindsay_rocha,70,28,8,http://moss.stanford.edu/results/1/8855705839555/match6.html
beautiful_runes,1935,38713,1025319,andrea_davis,2023,42731,1143190,maria_jackson,15,19,5,http://moss.stanford.edu/results/1/8855705839555/match7.html
beautiful_runes,1821,33159,874054,edward_walker,2023,42731,1143190,maria_jackson,0,16,8,http://moss.stanford.edu/results/1/8855705839555/match8.html
beautiful_runes,1935,38713,1023403,michael_powell,1935,38713,1079142,robert_myers,31,8,14,http://moss.stanford.edu/results/1/8855705839555/match9.html
beautiful_runes,1821,33159,881392,natasha_conway,1935,38713,1025767,lauren_ramirez,73,82,8,http://moss.stanford.edu/results/1/8855705839555/match10.html
beautiful_runes,1935,38713,1035830,john_zuniga,1935,38713,1035259,traci_cooper,28,8,6,http://moss.stanford.edu/results/1/8855705839555/match11.html
beautiful_runes,1821,33159,881486,melissa_graham,1935,38713,1035031,james_webb,7,2,9,http://moss.stanford.edu/results/1/8855705839555/match12.html
beautiful_runes,1935,38713,1027909,lindsay_rocha,1935,38713,1022582,heather_strong,18,25,5,http://moss.stanford.edu/results/1/8855705839555/match13.html
beautiful_runes,1821,33159,879471,luis_hansen,1935,38713,1022582,heather_strong,46,25,5,http://moss.stanford.edu/results/1/8855705839555/match14.html
beautiful_runes,1935,38713,1027909,lindsay_rocha,1935,38713,1029998,jordan_alvarez,16,6,6,http://moss.stanford.edu/results/1/8855705839555/match15.html
beautiful_runes,1821,33159,879471,luis_hansen,1935,38713,1029998,jordan_alvarez,40,6,6,http://moss.stanford.edu/results/1/8855705839555/match16.html
beautiful_runes,1821,33159,878140,john_price,1935,38713,1027751,mr._jacob_flynn_jr.,17,38,3,http://moss.stanford.edu/results/1/8855705839555/match17.html
beautiful_runes,1821,33159,892614,caroline_branch,1821,33159,883754,stephanie_bell,18,21,1,http://moss.stanford.edu/results/1/8855705839555/match18.html
beautiful_runes,1935,38713,1031584,aaron_powell,2023,42731,1137666,justin_young,26,29,6,http://moss.stanford.edu/results/1/8855705839555/match19.html
beautiful_runes,1935,38713,1023395,albert_turner,1935,38713,1031366,rachel_wilson,50,37,7,http://moss.stanford.edu/results/1/8855705839555/match20.html
beautiful_runes,1935,38713,1027418,michael_brown,1935,38713,1026028,cynthia_pena,25,7,5,http://moss.stanford.edu/results/1/8855705839555/match21.html
beautiful_runes,1821,33159,883754,stephanie_bell,1935,38713,1032017,mark_smith,20,36,8,http://moss.stanford.edu/results/1/8855705839555/match22.html
beautiful_runes,1821,33159,882446,shannon_lester,1935,38713,1026028,cynthia_pena,39,7,12,http://moss.stanford.edu/results/1/8855705839555/match23.html
beautiful_runes,1821,33159,877664,pamela_price,1935,38713,1036013,sabrina_clark,38,17,6,http://moss.stanford.edu/results/1/8855705839555/match24.html
beautiful_runes,1935,38713,1031584,aaron_powell,1935,38713,1026742,alicia_washington,25,13,7,http://moss.stanford.edu/results/1/8855705839555/match25.html
beautiful_runes,1935,38713,1025867,gary_barrett,1935,38713,1036013,sabrina_clark,20,17,16,http://moss.stanford.edu/results/1/8855705839555/match26.html
beautiful_runes,1821,33159,879790,shaun_hubbard,1935,38713,1036013,sabrina_clark,35,17,5,http://moss.stanford.edu/results/1/8855705839555/match27.html
beautiful_runes,1935,38713,1027033,jorge_krause,1935,38713,1025328,colleen_mcmillan,12,22,4,http://moss.stanford.edu/results/1/8855705839555/match28.html
beautiful_runes,1935,38713,1031584,aaron_powell,1935,38713,1023141,ashley_johnson,23,21,4,http://moss.stanford.edu/results/1/8855705839555/match29.html
beautiful_runes,1935,38713,1026742,alicia_washington,1935,38713,1023141,ashley_johnson,13,21,6,http://moss.stanford.edu/results/1/8855705839555/match30.html
beautiful_runes,1821,33159,882446,shannon_lester,1935,38713,1023870,cynthia_smith,36,30,10,http://moss.stanford.edu/results/1/8855705839555/match31.html
beautiful_runes,1821,33159,877026,thomas_cox,1935,38713,1025867,gary_barrett,13,19,5,http://moss.stanford.edu/results/1/8855705839555/match32.html
beautiful_runes,1821,33159,874201,noah_morrow,1935,38713,1036013,sabrina_clark,11,16,5,http://moss.stanford.edu/results/1/8855705839555/match33.html
beautiful_runes,1935,38713,1024668,jamie_bennett,2023,42731,1139995,james_church,15,10,3,http://moss.stanford.edu/results/1/8855705839555/match34.html
beautiful_runes,1821,33159,884534,jonathan_cox,1935,38713,1030273,molly_davis,60,17,3,http://moss.stanford.edu/results/1/8855705839555/match35.html
beautiful_runes,1935,38713,1023870,cynthia_smith,1935,38713,1026028,cynthia_pena,29,6,8,http://moss.stanford.edu/results/1/8855705839555/match36.html
beautiful_runes,1935,38713,1026742,alicia_washington,2023,42731,1137666,justin_young,12,24,4,http://moss.stanford.edu/results/1/8855705839555/match37.html
beautiful_runes,1935,38713,1025319,andrea_davis,1935,38713,1024668,jamie_bennett,6,14,4,http://moss.stanford.edu/results/1/8855705839555/match38.html
beautiful_runes,1821,33159,884534,jonathan_cox,1935,38713,1023569,lindsay_rodriguez,56,36,3,http://moss.stanford.edu/results/1/8855705839555/match39.html
beautiful_runes,1821,33159,881725,taylor_johnson,1935,38713,1032769,victoria_hubbard,7,18,5,http://moss.stanford.edu/results/1/8855705839555/match40.html
beautiful_runes,1935,38713,1023454,danielle_marsh,2023,42731,1142166,james_cruz,18,14,1,http://moss.stanford.edu/results/1/8855705839555/match41.html
beautiful_runes,1821,33159,884584,james_black,1935,38713,1079142,robert_myers,21,4,8,http://moss.stanford.edu/results/1/8855705839555/match42.html
beautiful_runes,1821,33159,881725,taylor_johnson,1935,38713,1035492,jennifer_miller,6,21,4,http://moss.stanford.edu/results/1/8855705839555/match43.html
beautiful_runes,1821,33159,881324,oscar_monroe,1935,38713,1030039,chad_foster,27,50,5,http://moss.stanford.edu/results/1/8855705839555/match44.html
beautiful_runes,1821,33159,879168,scott_stanley,1821,33159,879953,sarah_johnson,23,25,6,http://moss.stanford.edu/results/1/8855705839555/match45.html
beautiful_runes,1821,33159,875032,laura_perry,1935,38713,1025867,gary_barrett,12,17,4,http://moss.stanford.edu/results/1/8855705839555/match46.html
beautiful_runes,1935,38713,1026506,casey_wilson,1935,38713,1024560,faith_bennett,4,15,3,http://moss.stanford.edu/results/1/8855705839555/match47.html
beautiful_runes,1935,38713,1023870,cynthia_smith,1935,38713,1024668,jamie_bennett,26,13,8,http://moss.stanford.edu/results/1/8855705839555/match48.html
beautiful_runes,1821,33159,881725,taylor_johnson,1935,38713,1031366,rachel_wilson,6,28,7,http://moss.stanford.edu/results/1/8855705839555/match49.html
beautiful_runes,1821,33159,878140,john_price,1935,38713,1028624,kenneth_brown,12,20,3,http://moss.stanford.edu/results/1/8855705839555/match50.html
beautiful_runes,1821,33159,872103,jessica_torres,1935,38713,1032769,victoria_hubbard,5,17,5,http://moss.stanford.edu/results/1/8855705839555/match51.html
beautiful_runes,1935,38713,1032516,daniel_rangel,1935,38713,1022217,martha_ramirez,19,5,2,http://moss.stanford.edu/results/1/8855705839555/match52.html
beautiful_runes,1935,38713,1031584,aaron_powell,1935,38713,1033096,pamela_gibbs,19,11,6,http://moss.stanford.edu/results/1/8855705839555/match53.html
beautiful_runes,1935,38713,1030273,molly_davis,1935,38713,1023569,lindsay_rodriguez,14,32,2,http://moss.stanford.edu/results/1/8855705839555/match54.html
beautiful_runes,1935,38713,1029998,jordan_alvarez,1935,38713,1022582,heather_strong,4,14,3,http://moss.stanford.edu/results/1/8855705839555/match55.html
beautiful_runes,1935,38713,1028274,ashley_rogers,1935,38713,1024668,jamie_bennett,14,13,14,http://moss.stanford.edu/results/1/8855705839555/match56.html
beautiful_runes,1935,38713,1027138,derek_taylor,1935,38713,1028723,nicholas_barrett,19,10,14,http://moss.stanford.edu/results/1/8855705839555/match57.html
beautiful_runes,1821,33159,884332,lee_bass,1821,33159,876841,thomas_martinez,43,40,6,http://moss.stanford.edu/results/1/8855705839555/match58.html
beautiful_runes,1821,33159,881725,taylor_johnson,2023,42731,1142307,jason_kelly,6,5,6,http://moss.stanford.edu/results/1/8855705839555/match59.html
beautiful_runes,1935,38713,1032769,victoria_hubbard,1935,38713,1023433,james_long,16,3,4,http://moss.stanford.edu/results/1/8855705839555/match60.html
beautiful_runes,1935,38713,1031366,rachel_wilson,2023,42731,1142307,jason_kelly,26,5,5,http://moss.stanford.edu/results/1/8855705839555/match61.html
beautiful_runes,1935,38713,1025969,robin_coleman,1935,38713,1026322,patrick_ramsey,9,4,12,http://moss.stanford.edu/results/1/8855705839555/match62.html
beautiful_runes,1821,33159,882446,shannon_lester,1935,38713,1024668,jamie_bennett,28,12,10,http://moss.stanford.edu/results/1/8855705839555/match63.html
beautiful_runes,1821,33159,881599,katherine_moore,1935,38713,1023433,james_long,39,3,1,http://moss.stanford.edu/results/1/8855705839555/match64.html
beautiful_runes,1821,33159,879751,james_hernandez,1821,33159,880418,linda_todd,18,13,5,http://moss.stanford.edu/results/1/8855705839555/match65.html
beautiful_runes,1821,33159,875934,amanda_spears,1935,38713,1024830,barbara_nunez,21,13,6,http://moss.stanford.edu/results/1/8855705839555/match66.html
beautiful_runes,1821,33159,874322,ronald_stewart,1935,38713,1029568,sandra_rivas,18,16,3,http://moss.stanford.edu/results/1/8855705839555/match67.html
beautiful_runes,1821,33159,874054,edward_walker,2023,42731,1142457,sherry_cardenas,0,7,10,http://moss.stanford.edu/results/1/8855705839555/match68.html
beautiful_runes,1821,33159,874054,edward_walker,2023,42731,1142457,sherry_cardenas,0,7,10,http://moss.stanford.edu/results/1/8855705839555/match69.html
beautiful_runes,1821,33159,874054,edward_walker,2023,42731,1142457,sherry_cardenas,0,7,10,http://moss.stanford.edu/results/1/8855705839555/match70.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match71.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match72.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match73.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match74.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match75.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match76.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match77.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match78.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match79.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match80.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match81.html
beautiful_runes,1935,38713,1035980,sydney_wagner,2023,42731,1137666,justin_young,56,20,3,http://moss.stanford.edu/results/1/8855705839555/match82.html
